query_id,query
query_1,Recipe request (Breakfast and Brunch): Please suggest a one-pot recipe featuring shakshuka. Make it serve 5 people. Total time must be under 50 minutes. Ensure it reheats well for leftovers. Include a make-ahead tip. Include a timeline (prep vs cook time).
query_2,Recipe request (Bread): Please suggest a air fryer recipe featuring rye bread. Make it serve 1 people. Total time must be under 15 minutes. Provide substitutions for any uncommon ingredients. Use an Instant Pot if it helps (still under the time limit). Include a timeline (prep vs cook time).
query_3,Recipe request (Appetizers and Snacks): Please suggest a oven-baked recipe featuring spring rolls. Make it serve 12 people. Total time must be under 1 hour 30 minutes. Make it one-pan to minimize cleanup. Make it kid-friendly. Give clear step-by-step instructions.
query_4,Recipe request (Desserts): Please suggest a air fryer recipe featuring sorbet. Make it serve 6 people. Total time must be under 55 minutes. Avoid deep frying. Include a make-ahead tip. Give clear step-by-step instructions.
query_5,Recipe request (Mexican): Please suggest a slow-cooker (but keep under the time limit) recipe featuring tacos. Dietary restrictions/allergies: vegan. Make it serve 6 people. Total time must be under 2 hours 30 minutes. Ensure it reheats well for leftovers. Include approximate calories per serving. Include a timeline (prep vs cook time).
query_6,"Recipe request (Breakfast and Brunch): Please suggest a stovetop recipe featuring frittata. Dietary restrictions/allergies: no mushrooms, kosher. Make it serve 12 people. Total time must be under 1 hour. Make it one-pan to minimize cleanup. Provide substitutions for any uncommon ingredients. Give clear step-by-step instructions."
query_7,"Recipe request (BBQ & Grilling): Please suggest a oven-baked recipe featuring grilled veggies. Dietary restrictions/allergies: dairy-free, no seafood. Make it serve 5 people. Total time must be under 25 minutes. Make it kid-friendly. Include approximate calories per serving. Provide metric and imperial measurements."
query_8,Recipe request (Desserts): Please suggest a slow-cooker (but keep under the time limit) recipe featuring cookies. Dietary restrictions/allergies: no garlic. Make it serve 4 people. Total time must be under 55 minutes. Include a short shopping list. Include a make-ahead tip. Include a timeline (prep vs cook time).
query_9,Recipe request (Desserts): Please suggest a one-pot recipe featuring pudding. Dietary restrictions/allergies: low-carb. Make it serve 4 people. Total time must be under 40 minutes. Include a short shopping list. Use an Instant Pot if it helps (still under the time limit). Add a short explanation of why each key step matters.
query_10,Recipe request (Main Dishes): Please suggest a oven-baked recipe featuring chicken and rice. Dietary restrictions/allergies: gluten-free. Make it serve 1 people. Total time must be under 1 hour 10 minutes. Provide substitutions for any uncommon ingredients. Make it one-pan to minimize cleanup. Provide metric and imperial measurements.
query_11,Recipe request (Drinks Recipes): Please suggest a air fryer recipe featuring protein shake. Dietary restrictions/allergies: low-carb. Make it serve 8 people. Total time must be under 2 hours 45 minutes. Keep it budget-friendly. Provide substitutions for any uncommon ingredients. Include a timeline (prep vs cook time).
query_12,Recipe request (Side Dish): Please suggest a one-pot recipe featuring rice pilaf. Dietary restrictions/allergies: low-sodium. Make it serve 8 people. Total time must be under 2 hours 15 minutes. Keep it budget-friendly. Use an Instant Pot if it helps (still under the time limit). Include suggested side pairings.
query_13,"Recipe request (Bread): Please suggest a sheet-pan recipe featuring artisan loaf. Dietary restrictions/allergies: heart-healthy. Make it serve 2 people. Total time must be under 35 minutes. Include a short shopping list. Use no more than 10 ingredients (excluding salt, pepper, oil). Include a timeline (prep vs cook time)."
query_14,Recipe request (Bread): Please suggest a air fryer recipe featuring baguette. Dietary restrictions/allergies: tree-nut allergy. Make it serve 10 people. Total time must be under 1 hour 50 minutes. Use pantry staples where possible. Include a short shopping list. Give clear step-by-step instructions.
query_15,Recipe request (Side Dish): Please suggest a sheet-pan recipe featuring rice pilaf. Dietary restrictions/allergies: egg-free. Make it serve 6 people. Total time must be under 30 minutes. Include approximate calories per serving. Use pantry staples where possible. Provide metric and imperial measurements.
query_16,Recipe request (Seafood): Please suggest a grill recipe featuring salmon tacos. Dietary restrictions/allergies: no onions. Make it serve 2 people. Total time must be under 2 hours 45 minutes. Use an Instant Pot if it helps (still under the time limit). Make it one-pan to minimize cleanup. Add a short explanation of why each key step matters.
query_17,"Recipe request (Cuisine): Please suggest a sheet-pan recipe featuring Japanese-inspired. Dietary restrictions/allergies: peanut allergy, vegetarian. Make it serve 3 people. Total time must be under 2 hours. Make it one-pan to minimize cleanup. Avoid deep frying. Include suggested side pairings."
query_18,Recipe request (Appetizers and Snacks): Please suggest a slow-cooker (but keep under the time limit) recipe featuring crispy chickpeas. Make it serve 5 people. Total time must be under 50 minutes. Make it one-pan to minimize cleanup. Include a make-ahead tip. Give clear step-by-step instructions.
query_19,Recipe request (Sauces and Condiments): Please suggest a sheet-pan recipe featuring chimichurri. Make it serve 12 people. Total time must be under 35 minutes. Include approximate calories per serving. Use an Instant Pot if it helps (still under the time limit). Add a short explanation of why each key step matters.
query_20,"Recipe request (Fruits and Vegetables): Please suggest a sheet-pan recipe featuring eggplant. Dietary restrictions/allergies: high-protein, mild spice only. Make it serve 8 people. Total time must be under 45 minutes. Ensure it reheats well for leftovers. Provide substitutions for any uncommon ingredients. Provide metric and imperial measurements."
query_21,"Recipe request (Mexican): Please suggest a one-pot recipe featuring burrito bowl. Dietary restrictions/allergies: no red meat, dairy-free. Make it serve 6 people. Total time must be under 1 hour 40 minutes. Provide substitutions for any uncommon ingredients. Ensure it reheats well for leftovers. Give clear step-by-step instructions."
query_22,Recipe request (Main Dishes): Please suggest a grill recipe featuring chicken and rice. Dietary restrictions/allergies: vegetarian. Make it serve 12 people. Total time must be under 50 minutes. Include a make-ahead tip. Include a short shopping list. Give clear step-by-step instructions.
query_23,Recipe request (Everyday Cooking): Please suggest a stovetop recipe featuring sheet-pan dinner. Dietary restrictions/allergies: low-carb. Make it serve 6 people. Total time must be under 25 minutes. Include a short shopping list. Include approximate calories per serving. Add a short explanation of why each key step matters.
query_24,"Recipe request (Side Dish): Please suggest a one-pot recipe featuring roasted carrots. Dietary restrictions/allergies: heart-healthy. Make it serve 10 people. Total time must be under 50 minutes. Use no more than 10 ingredients (excluding salt, pepper, oil). Provide substitutions for any uncommon ingredients. Give clear step-by-step instructions."
query_25,Recipe request (Breakfast and Brunch): Please suggest a air fryer recipe featuring overnight oats. Dietary restrictions/allergies: mild spice only. Make it serve 6 people. Total time must be under 1 hour 30 minutes. Use pantry staples where possible. Include a short shopping list. Give clear step-by-step instructions.
query_26,Recipe request (BBQ & Grilling): Please suggest a one-pot recipe featuring grilled shrimp. Make it serve 6 people. Total time must be under 30 minutes. Provide substitutions for any uncommon ingredients. Use an Instant Pot if it helps (still under the time limit). Include suggested side pairings.
query_27,Recipe request (Cuisine): Please suggest a oven-baked recipe featuring Indian-style. Make it serve 5 people. Total time must be under 1 hour 40 minutes. Include a make-ahead tip. Include approximate calories per serving. Include a timeline (prep vs cook time).
query_28,"Recipe request (Breakfast and Brunch): Please suggest a one-pot recipe featuring shakshuka. Dietary restrictions/allergies: high-protein, low-sodium. Make it serve 12 people. Total time must be under 15 minutes. Keep it budget-friendly. Use no more than 10 ingredients (excluding salt, pepper, oil). Include suggested side pairings."
query_29,"Recipe request (Sauces and Condiments): Please suggest a sheet-pan recipe featuring pesto. Make it serve 8 people. Total time must be under 20 minutes. Use pantry staples where possible. Use no more than 10 ingredients (excluding salt, pepper, oil). Provide metric and imperial measurements."
query_30,Recipe request (Salad): Please suggest a air fryer recipe featuring lentil salad. Make it serve 12 people. Total time must be under 1 hour 45 minutes. Make it kid-friendly. Provide substitutions for any uncommon ingredients. Give clear step-by-step instructions.
query_31,Recipe request (Soup Recipes): Please suggest a grill recipe featuring minestrone. Make it serve 1 people. Total time must be under 1 hour 10 minutes. Make it one-pan to minimize cleanup. Include approximate calories per serving. Include a timeline (prep vs cook time).
query_32,"Recipe request (Seafood): Please suggest a stovetop recipe featuring salmon tacos. Dietary restrictions/allergies: gluten-free, no mushrooms. Make it serve 12 people. Total time must be under 25 minutes. Include a make-ahead tip. Include a short shopping list. Add a short explanation of why each key step matters."
query_33,"Recipe request (Mexican): Please suggest a grill recipe featuring tacos. Dietary restrictions/allergies: no mushrooms. Make it serve 4 people. Total time must be under 2 hours 15 minutes. Include a make-ahead tip. Use no more than 10 ingredients (excluding salt, pepper, oil). Include a timeline (prep vs cook time)."
